,name,rating,user_ratings_total,business_status,types,fuzzy_score
109,Sun Plaza,3.9,4358,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
110,Vista Point,4.2,497,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
111,Puteri,,,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",42
112,Woodlands Mart,4.3,461,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
113,Woodlands North Plaza,4,934,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
114,Waterway Point,4.3,10930,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
115,Compass One,4.1,7506,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
116,Hougang Mall,4,5659,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
117,Heartland Mall,3.9,4766,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
118,NEX,4.3,16923,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
119,Greenwich V,3.8,1395,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
120,Hougang Centre,4.4,8,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",70
121,Hougang Green Shopping Mall,3.8,514,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
122,myVillage,3.9,240,OPERATIONAL,"['shopping_mall', 'grocery_or_supermarket', 'cafe', 'restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",47
123,Oasis Terraces,4.2,1520,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
124,Punggol Plaza,3.8,2658,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
125,Rivervale Mall,3.9,2464,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
126,Rivervale Plaza,3.9,2836,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
127,The Seletar Mall,4.1,5052,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
128,Buangkok Square Mall,4,588,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",86
129,The Midtown,3.7,84,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
130,Upper Serangoon Shopping Centre,3.3,644,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
131,Beauty World Centre,3.7,2557,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
132,Beauty World Plaza,3.5,4,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
133,Bukit Panjang Plaza,4.1,4520,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
134,Bukit Timah Plaza,3.9,1046,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
135,Fajar Shopping Centre,3.8,1406,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
136,Greenridge Shopping Centre,4,290,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
137,Hillion mall,4.2,6316,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
138,HillV2,4,1887,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
139,Junction 10,3.6,1548,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
140,Lot One Shoppers' Mall,4,5867,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",50
141,Lot One Shoppers' Mall,4,5867,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",50
142,The Rail Mall,4.1,2114,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",82
143,Sunshine Place,3.8,1321,OPERATIONAL,"['shopping_mall', 'laundry', 'food', 'point_of_interest', 'store', 'establishment']",100
144,Teck Whye Shopping Centre,3.9,410,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
145,West Mall,4,5699,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
146,YewTee Point,4,1598,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",72
147,Yew Tee Square,4.1,224,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
148,Keat Hong Furniture Trading,,,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",69
149,KKH Mall,3.5,4,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",59
150,VivoCity,4.5,40740,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
151,HarbourFront Centre,4.3,5638,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
152,Alexandra Retail Centre,4,3584,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
153,321 Clementi,3.9,1806,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
154,The Clementi Mall,4.1,7563,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
155,IMM,4.3,12649,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
156,JCube,4.1,6748,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
157,Jem,4.3,13447,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
158,santagrand,,,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",44
159,Jurong Point,4.4,16925,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
160,Pioneer Mall,3.9,1863,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
161,The Star Vista,4.2,6716,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
162,Alexandra Retail Centre,4,3584,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",85
163,Anchorpoint Shopping Centre,3.9,2635,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",58
164,DAISO IMM,4.5,2143,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'store', 'establishment']",25
165,The grandstand car mall,3.9,16,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",33
166,Hong Kah Point,4,729,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",42
167,Grantral Mall,3.5,189,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
168,Fairprice Hub,4.3,36,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
169,Gek Poh Shopping Centre,4,91,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
170,Rochester Mall,3.9,940,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
171,Taman Jurong Shopping Centre,4,1363,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
172,West Coast Plaza,3.9,2864,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
173,Queensway Shopping Centre,4.2,2421,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
