,name,rating,user_ratings_total,price_level,business_status,types,fuzzy_score
97,Mount Pleasant Animal Medical Centre (Farrer Road),4.2,75,,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']",53
98,Old Airport Road Food Centre & Shopping Mall,4.3,8627,1,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",47
99,Teban Gardens Food Centre,3.9,1555,1,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",57
100,Block 536 HDB Bedok North,4.3,3,,OPERATIONAL,"['point_of_interest', 'establishment']",68
101,Block 87 HDB Bedok North Street 4,5,1,,OPERATIONAL,"['point_of_interest', 'establishment']",71
102,Sunlove Dementia Senior Care Centre Ang Mo Kio,2.3,3,,OPERATIONAL,"['physiotherapist', 'health', 'point_of_interest', 'establishment']",49
103,Geylang,,,,,"['neighborhood', 'political']",52
104,Block 40 HDB Bedok South,3.6,13,,OPERATIONAL,"['point_of_interest', 'establishment']",77
105,Two Bedroom in Chinatown above MRT,,,,OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",45
106,The Blue Ginger Tanjong Pagar,4.2,632,2,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",43
107,My First Skool at Blk 329 Ang Mo Kio,,,,OPERATIONAL,"['school', 'point_of_interest', 'establishment']",61
108,Cheers Ang Mo Kio Ave 10,,,,OPERATIONAL,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']",64
109,McDonald's Ang Mo Kio Ave 10,4.2,1138,1,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",48
110,Block 645 HDB Ang Mo Kio,4.3,20,,OPERATIONAL,"['point_of_interest', 'establishment']",49
111,Block 38 HDB Chai Chee,5,1,,OPERATIONAL,"['point_of_interest', 'establishment']",54
112,Block 304 HDB Shunfu,,,,OPERATIONAL,"['point_of_interest', 'establishment']",59
113,Block 44 HDB Sims Drive,4.1,19,,OPERATIONAL,"['point_of_interest', 'establishment']",41
